Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Hemmigepura,"12,94,946","12,73,808","8,57,160","6,24,772","6,17,879","4,22,962",98.4%,67.3%,72.9%,98.9%,"1,94,828",31.5%,18.9%,12.5%,32.7%,"₹6,20,72,690",8.01,₹146.76,"33,89,811"
A Narayanapura,"18,27,096","17,81,266","13,72,600","7,12,141","7,05,809","4,22,764",97.5%,77.1%,51.9%,99.1%,"2,82,937",40.1%,25.6%,14.4%,23.1%,"₹6,67,63,869",7.85,₹157.92,"33,17,922"
Hulimavu,"14,81,131","14,47,477","11,50,558","6,49,682","6,42,056","4,19,976",97.7%,79.5%,56.5%,98.8%,"2,21,969",34.6%,19.8%,14.7%,28.4%,"₹6,09,82,452",7.71,₹145.20,"32,38,512"
BTM Layout,"19,08,793","18,46,577","15,23,628","7,10,554","7,01,448","4,13,100",96.7%,82.5%,46.6%,98.7%,"2,88,247",41.1%,24.3%,16.7%,21.6%,"₹5,72,53,428",7.21,₹138.59,"29,78,400"
Ibluru,"16,85,255","16,20,397","14,00,389","6,53,507","6,45,676","4,09,515",96.2%,86.4%,46.7%,98.8%,"2,36,060",36.6%,21.0%,15.4%,24.3%,"₹6,43,23,136",8.29,₹157.07,"33,95,168"
Lingarajapura,"11,26,374","11,03,293","9,31,842","5,92,475","5,87,092","4,05,997",98.0%,84.5%,63.6%,99.1%,"1,81,020",30.8%,18.7%,12.0%,36.0%,"₹5,04,67,325",6.34,₹124.30,"25,72,254"
Subhash Nagar,"13,88,080","13,69,757","9,22,363","6,51,764","6,44,056","4,04,054",98.7%,67.3%,70.7%,98.8%,"2,39,933",37.3%,21.2%,15.9%,29.1%,"₹6,77,26,038",8.88,₹167.62,"35,88,231"
N S Palya,"14,89,650","14,46,804","11,90,829","6,25,170","6,16,975","4,00,978",97.1%,82.3%,52.5%,98.7%,"2,15,898",35.0%,19.7%,15.1%,26.9%,"₹5,55,89,370",7.27,₹138.63,"29,14,351"
Rupenaagrahara,"16,62,213","16,11,118","13,23,862","6,50,352","6,42,279","3,93,304",96.9%,82.2%,49.1%,98.8%,"2,48,866",38.7%,22.6%,16.0%,23.7%,"₹6,30,74,969",8.56,₹160.37,"33,65,320"
Kadu Malleshwara,"9,27,635","9,16,801","7,01,419","5,38,224","5,32,000","3,89,005",98.8%,76.5%,76.7%,98.8%,"1,42,929",26.9%,14.7%,12.0%,41.9%,"₹5,15,19,931",7.11,₹132.44,"27,65,004"
